nom_rue,longueur_km,segments
Marxzeller Straße,0.8939087324974442,4
Bulacher Straße,44.034737238173946,24
Gehrnstraße,0.3620297882567664,1
Schauinslandstraße,0.48991097613402657,2
Dahlienweg,30.69226723141604,5
Krokusweg,22.85483207687804,3
Reinhold-Schneider-Straße,0.9787321460794494,3
Joseph-von-Eichendorff-Straße,0.2914082877176992,1
Gaistalweg,0.14738804504264422,1
Hinterm Dorf,0.5342095765810585,1
Spessarter Straße,0.17549547120893227,1
Moosalbstraße,0.5811080038585533,2
Belchenplatz,0.12100604516260521,2
Hedwigstraße,0.13027157152126914,1
Burbacher Straße,0.9398360229018242,1
Brunnenstückweg,4.463984688940714,9
Stockgässchen,0.11745000276351329,1
Löwenstraße,0.5590041345452588,2
Lützowstraße,1.2554103117013435,4
Eggensteiner Straße,194.98273924739794,46
Pionierstraße,0.6815658934586117,1
Struvestraße,0.677928290743603,2
Landeckstraße,0.15098139973945698,1
Trifelsstraße,0.1484975103313161,1
Lönsstraße,0.1427135223413398,1
Heckerstraße,1.371401854811768,2
Am Brurain,0.6116374194415214,4
Güterbahnstraße,2.6793603068945413,7
Gottlob-Schreber-Weg,0.8240679072924376,2
Hauschildpfad,1.6713648689426492,4
Pfauenstraße,0.6779211018850803,1
Nikolausstraße,0.18231702805338287,1
Spielberger Straße,0.33970291221503407,1
Wasenstraße,0.7323606389854093,7
Adenauerstraße,1.9294199853902836,3
Zwergenweg,0.05191003385052317,1
Baumgartenweg,0.40226294136853913,1
Buschweg,0.28906414498126887,1
Gretelweg,0.14093613505644773,2
Aschenbrödelweg,0.09164528110329175,1
Hänselweg,0.09459360491513813,2
Dorotheastraße,0.0394003637926868,1
Litzenhardtstraße,6.892073018286351,16
Hirschstraße,100.689508590824,29
Louisianaring,1.4129629625353435,4
Südendstraße,12.138191995563929,43
Haid-und-Neu-Straße,68.59880699434252,87
Gustav-Heinemann-Allee,44.46442659829763,67
Willy-Brandt-Allee,21.60918110920381,39
Toni Menzinger Brücke,0.09846367841587707,2
Silberstreifen,4.830917434790085,6
Pirschweg,16.497647659916694,6
Siedlersteg,0.39658427023584697,3
Diakonissenstraße,2.105723696212265,3
Veilchenstraße,69.14367782670458,10
Hochbahnstraße,1.8158175477202647,3
Werftstraße,4.401607930982472,10
Kurzheckweg,7.414223890689732,8
Pfalzbahnstraße,0.191340281567005,2
Itzsteinstraße,0.46784426569277904,1
Carl-Schurz-Straße,0.8275976396247793,2
Annweilerstraße,8.259242575763436,19
Ferdinand-Keller-Straße,1.9154860615916298,4
Gustav-Schönleber-Straße,0.5028959659600309,1
Daimlerstraße,39.962080657740046,6
Boschstraße,35.219890017515056,5
Im Husarenlager,0.34173803736592856,1
Herweghstraße,1.3723387798684485,6
Yorckplatz,0.18813342504486222,1
Lassallestraße,1.000038027602972,3
Waldring,0.9594354476165001,3
Weinbrennerstraße,20.20714765172929,11
Zietenstraße,0.9393947656974424,1
Siemensallee,25.054503819171178,42
Röntgenstraße,23.226534008717312,4
Otto-Sachs-Straße,0.28454280470296733,4
Neckarplatz,0.05357404560293774,1
Vogesenbrücke,0.4492046149744121,2
Hinterm Hauptbahnhof,3.2325455482461045,14
Am Sixenrain,0.31929752901004416,2
Moningerstraße,0.2847264669772305,3
Sedanstraße,0.21223288426939962,1
Marktstraße,10.484996369856475,9
Lindenplatz,27.72499200795678,5
Geibelstraße,0.3271148215996008,2
Nuitsstraße,1.70621829832318,7
Bachstraße,195.25004554483817,21
